text,label,domain
वेतन खाते में आ गया है बैंक का,0,hinglish_frag
betway india registration bonus credited instantly to your wallet,1,betting
order has been dispatched and will arrive within two,0,ecommerce_frag
esports tournament finals will be streamed live this saturday,0,gaming
ne kal ka match jeet liya poori team,0,hinglish_frag
flight crew must revalidate their type rating once a year,0,corporate
exchange and back or lay any market you like,1,betting_frag
developers can now access the sandbox environment for testing,0,tech
william hill acca boost on all premier league accumulators,1,betting
तीन पत्ती खेलो और असली पैसा जीतो अभी ऐप डाउनलोड करो,1,betting_hinglish
fantasy team banao aur doston ke saath private league me khelo,0,hinglish
बिजली का बिल ऑनलाइन भर दिया रसीद आ गई है,0,hinglish
betting app apk direct link no play store needed,1,betting_frag
bonus 100 percent on your first deposit sign up,1,betting_frag
the all rounder returns to the side after recovering from injury,0,sports_news
models require careful validation,0,tech_frag
rain interrupted play for two hours before the umpires called it off,0,sports_news
friend and both get free bet credit,1,betting_frag
the utility billing app now supports multiple payment methods,0,app_downloads
line managers complete an annual appraisal cycle for their reports,0,corporate
directed platforms to comply with takedown,0,government_advisory_frag
exhibition opens on friday evening at the city gallery,0,everyday_frag
ऑनलाइन सट्टेबाजी के विज्ञापनों पर रोक,0,hinglish_frag
the database migration completed without any reported downtime,0,tech
अदालत ने सट्टेबाजी चलाने वालों पर मुकदमा दर्ज किया,0,hinglish
IPL ka schedule aa gaya hai pehla match mumbai me hoga,0,hinglish
ने कल के मैच में शानदार शतक,0,hinglish_frag
match press conference discussed the bowling changes,0,sports_news_frag
the security awareness training module is now,0,tech_frag
poker tournament with guaranteed prize pool register today,1,betting
sirf 500 lagao aur 5000 jeeto guarantee ke saath aaj hi,1,betting_hinglish
yesterday match are now available on the official channel,0,sports_news_frag
employees are reminded to complete the mandatory safety module,0,corporate
rounder returns to the side after recovering from injury,0,sports_news_frag
the visitors chased down the target with three overs to,0,sports_news_frag
the library extended its opening hours during examination season,0,everyday
transfer window closes an hour before the first match kicks off,0,fantasy_sports
regulators barred three entities from the securities market,0,government_advisory
renovation will be completed before the next home,0,sports_news_frag
you can download your statement as a pdf from within the app,0,app_downloads
central bank left the policy rate unchanged at,0,finance_frag
the phonetic alphabet is used to spell names over the radio,0,everyday
online casino india play roulette blackjack and baccarat,1,betting
court ne satta chalane wale gang ke khilaf case darj kiya,0,hinglish
live dealer tables open now,1,betting_frag
