identifier,score,label
18_12__outside_talking_still_laughing__IKH1LBBY.mp4,99.947745,1
05__walking_down_street_outside_angry.mp4,0.835151,0
02_25__walking_down_street_outside_angry__Z7FQ69VP.mp4,99.986915,1
13_04__talking_against_wall__00T3UYOR.mp4,99.650212,1
09_02__kitchen_pan__6KUOFMZW.mp4,81.956289,1
24__talking_angry_couch.mp4,0.767251,0
11__walking_down_street_outside_angry.mp4,0.299180,0
20_21__walking_outside_cafe_disgusted__5LWO5ZDA.mp4,97.697889,1
01__outside_talking_pan_laughing.mp4,9.023526,0
20_01__kitchen_still__FW94AIMJ.mp4,99.903045,1
27__kitchen_still.mp4,18.223218,0
24__walk_down_hall_angry.mp4,1.724524,0
17__exit_phone_room.mp4,2.419135,0
02_13__walking_outside_cafe_disgusted__CP5HFV3K.mp4,99.160711,1
16__podium_speech_happy.mp4,0.003438,0
03_11__outside_talking_pan_laughing__P08VGHTA.mp4,99.544387,1
03_06__walking_down_indoor_hall_disgust__1IXGY2FK.mp4,45.501408,1
09__talking_against_wall.mp4,0.080237,0
02__walking_outside_cafe_disgusted.mp4,10.860280,0
20_14__podium_speech_happy__B014BKVO.mp4,99.355688,1
01__kitchen_pan.mp4,8.826939,0
06__walking_down_street_outside_angry.mp4,15.261940,0
22__walking_outside_cafe_disgusted.mp4,2.681174,0
25_09__walking_outside_cafe_disgusted__ODAQ7BZL.mp4,95.073504,1
24_22__walking_down_street_outside_angry__7E3GY85F.mp4,99.245063,1
20_01__kitchen_pan__6UBMLXK3.mp4,90.595842,1
25_07__walking_down_street_outside_angry__IKMKYKPG.mp4,99.737334,1
16__talking_against_wall.mp4,1.794495,0
03_14__walking_and_outside_surprised__H0VQHGS3.mp4,79.257672,1
11_01__kitchen_pan__18HYCC8C.mp4,99.215608,1
25__talking_against_wall.mp4,4.587848,0
02_25__hugging_happy__Z7FQ69VP.mp4,99.981486,1
15_13__walk_down_hall_angry__X0EIIJF7.mp4,99.742449,1
10__outside_talking_pan_laughing.mp4,11.801563,0
20_27__walk_down_hall_angry__LM907ECA.mp4,96.799172,1
01__walking_and_outside_surprised.mp4,35.115233,0
04__outside_talking_still_laughing.mp4,0.536269,0
17__kitchen_still.mp4,0.007110,0
03__exit_phone_room.mp4,3.621383,0
20_01__outside_talking_pan_laughing__6UBMLXK3.mp4,99.976786,1
17__outside_talking_still_laughing.mp4,2.201118,0
09__outside_talking_still_laughing.mp4,0.731206,0
23__kitchen_pan.mp4,4.132126,0
07_03__kitchen_still__WPT3Z2KN.mp4,99.174061,1
15__talking_angry_couch.mp4,2.966606,0
27__walking_down_indoor_hall_disgust.mp4,34.523704,0
03__walking_down_indoor_hall_disgust.mp4,34.523704,0
21__outside_talking_still_laughing.mp4,0.028273,0
19__talking_angry_couch.mp4,4.634536,0
17_05__talking_against_wall__YTJYYDO9.mp4,99.939929,1
23_10__walk_down_hall_angry__GYY4VANY.mp4,85.445597,1
